"species","kingdom","phylum","class"
"Chamaenerion angustifolium","Plantae","Tracheophyta","Magnoliopsida"
"Lysimachia borealis","Plantae","Tracheophyta","Magnoliopsida"
"Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida"
"Aralia nudicaulis","Plantae","Tracheophyta","Magnoliopsida"
"Mycelis muralis","Plantae","Tracheophyta","Magnoliopsida"
"Coronilla varia","Plantae","Tracheophyta","Magnoliopsida"
"Fomitopsis betulina","Fungi","Basidiomycota","Agaricomycetes"
"Monotropa uniflora","Plantae","Tracheophyta","Magnoliopsida"
"Betula populifolia","Plantae","Tracheophyta","Magnoliopsida"
"Vanessa virginiensis","Animalia","Arthropoda","Insecta"
"Lotus corniculatus","Plantae","Tracheophyta","Magnoliopsida"
"Symplocarpus foetidus","Plantae","Tracheophyta","Liliopsida"
"Apocynum androsaemifolium","Plantae","Tracheophyta","Magnoliopsida"
"Cucullia convexipennis","Animalia","Arthropoda","Insecta"
"Vaccinium angustifolium","Plantae","Tracheophyta","Magnoliopsida"
"Tamiasciurus hudsonicus","Animalia","Chordata","Mammalia"
"Lobelia cardinalis","Plantae","Tracheophyta","Magnoliopsida"
"Dissosteira carolina","Animalia","Arthropoda","Insecta"
"Rhus typhina","Plantae","Tracheophyta","Magnoliopsida"
"Strix varia","Animalia","Chordata","Aves"
"Gaultheria hispidula","Plantae","Tracheophyta","Magnoliopsida"
"Spilomyia fusca","Animalia","Arthropoda","Insecta"
"Toxomerus geminatus","Animalia","Arthropoda","Insecta"
"Spiraea tomentosa","Plantae","Tracheophyta","Magnoliopsida"
"Plathemis lydia","Animalia","Arthropoda","Insecta"
"Sibbaldia tridentata","Plantae","Tracheophyta","Magnoliopsida"
"Celithemis elisa","Animalia","Arthropoda","Insecta"
"Melampyrum lineare","Plantae","Tracheophyta","Magnoliopsida"
"Lithobates palustris","Animalia","Chordata","Amphibia"
"Lithobates sylvaticus","Animalia","Chordata","Amphibia"
"Loxia curvirostra","Animalia","Chordata","Aves"
"Linaria vulgaris","Plantae","Tracheophyta","Magnoliopsida"
"Limenitis arthemis","Animalia","Arthropoda","Insecta"
"Larus argentatus","Animalia","Chordata","Aves"
"Lilium philadelphicum","Plantae","Tracheophyta","Liliopsida"
"Lysimachia terrestris","Plantae","Tracheophyta","Magnoliopsida"
"Harmonia axyridis","Animalia","Arthropoda","Insecta"
"Typocerus velutinus","Animalia","Arthropoda","Insecta"
"Geothlypis trichas","Animalia","Chordata","Aves"
"Cardinalis cardinalis","Animalia","Chordata","Aves"
"Kalmia angustifolia","Plantae","Tracheophyta","Magnoliopsida"
"Junco hyemalis","Animalia","Chordata","Aves"
"Nuttallanthus canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Asterias rubens","Animalia","Echinodermata","Asteroidea"
"Regulus satrapa","Animalia","Chordata","Aves"
"Glyceria canadensis","Plantae","Tracheophyta","Liliopsida"
"Somatochlora tenebrosa","Animalia","Arthropoda","Insecta"
"Cercyonis pegala","Animalia","Arthropoda","Insecta"
"Sitta canadensis","Animalia","Chordata","Aves"
"Certhia americana","Animalia","Chordata","Aves"
"Epipactis helleborine","Plantae","Tracheophyta","Liliopsida"
"Hypericum gentianoides","Plantae","Tracheophyta","Magnoliopsida"
"Equisetum sylvaticum","Plantae","Tracheophyta","Polypodiopsida"
"Coenonympha california","Animalia","Arthropoda","Insecta"
"Littorina saxatilis","Animalia","Mollusca","Gastropoda"
"Amanita flavoconia","Fungi","Basidiomycota","Agaricomycetes"
"Pinus strobus","Plantae","Tracheophyta","Pinopsida"
"Arctostaphylos uva-ursi","Plantae","Tracheophyta","Magnoliopsida"
"Cecrita guttivitta","Animalia","Arthropoda","Insecta"
"Platanthera clavellata","Plantae","Tracheophyta","Liliopsida"
"Lithobates clamitans","Animalia","Chordata","Amphibia"
"Melospiza melodia","Animalia","Chordata","Aves"
"Verbena hastata","Plantae","Tracheophyta","Magnoliopsida"
"Speyeria cybele","Animalia","Arthropoda","Insecta"
"Hemichroa crocea","Animalia","Arthropoda","Insecta"
"Dianthus deltoides","Plantae","Tracheophyta","Magnoliopsida"
"Leucanthemum vulgare","Plantae","Tracheophyta","Magnoliopsida"
"Pteridium aquilinum","Plantae","Tracheophyta","Polypodiopsida"
"Falco columbarius","Animalia","Chordata","Aves"
"Ischnura verticalis","Animalia","Arthropoda","Insecta"
"Hypopitys monotropa","Plantae","Tracheophyta","Magnoliopsida"
"Arisaema triphyllum","Plantae","Tracheophyta","Liliopsida"
"Myrica gale","Plantae","Tracheophyta","Magnoliopsida"
"Oniscus asellus","Animalia","Arthropoda","Malacostraca"
"Gaultheria procumbens","Plantae","Tracheophyta","Magnoliopsida"
"Odocoileus virginianus","Animalia","Chordata","Mammalia"
"Prunella vulgaris","Plantae","Tracheophyta","Magnoliopsida"
"Vireo olivaceus","Animalia","Chordata","Aves"
"Mytilus edulis","Animalia","Mollusca","Bivalvia"
"Pseudacris crucifer","Animalia","Chordata","Amphibia"
"Osmundastrum cinnamomeum","Plantae","Tracheophyta","Polypodiopsida"
"Acer rubrum","Plantae","Tracheophyta","Magnoliopsida"
"Spinus tristis","Animalia","Chordata","Aves"
"Halictus rubicundus","Animalia","Arthropoda","Insecta"
"Helophilus lapponicus","Animalia","Arthropoda","Insecta"
"Prunus virginiana","Plantae","Tracheophyta","Magnoliopsida"
"Chrysemys picta","Animalia","Chordata","Reptilia"
"Ricasolia quercizans","Fungi","Ascomycota","Lecanoromycetes"
"Lymantria dispar","Animalia","Arthropoda","Insecta"
"Empetrum nigrum","Plantae","Tracheophyta","Magnoliopsida"
"Anaxyrus americanus","Animalia","Chordata","Amphibia"
"Eriocaulon aquaticum","Plantae","Tracheophyta","Liliopsida"
"Sericomyia chrysotoxoides","Animalia","Arthropoda","Insecta"
"Loxospora ochrophaea","Fungi","Ascomycota","Lecanoromycetes"
"Oligia bridghamii","Animalia","Arthropoda","Insecta"
"Osmunda spectabilis","Plantae","Tracheophyta","Polypodiopsida"
"Ardea herodias","Animalia","Chordata","Aves"
"Dolichovespula maculata","Animalia","Arthropoda","Insecta"
"Limax maximus","Animalia","Mollusca","Gastropoda"
"Iris versicolor","Plantae","Tracheophyta","Liliopsida"
"Lampropeltis triangulum","Animalia","Chordata","Reptilia"
"Carex vulpinoidea","Plantae","Tracheophyta","Liliopsida"
"Utricularia purpurea","Plantae","Tracheophyta","Magnoliopsida"
"Apios americana","Plantae","Tracheophyta","Magnoliopsida"
"Bromus inermis","Plantae","Tracheophyta","Liliopsida"
"Diplolepis bicolor","Animalia","Arthropoda","Insecta"
"Thelypteris palustris","Plantae","Tracheophyta","Polypodiopsida"
"Nymphaea odorata","Plantae","Tracheophyta","Magnoliopsida"
"Polistes fuscatus","Animalia","Arthropoda","Insecta"
"Mniotilta varia","Animalia","Chordata","Aves"
"Falco peregrinus","Animalia","Chordata","Aves"
"Rubus idaeus","Plantae","Tracheophyta","Magnoliopsida"
"Lontra canadensis","Animalia","Chordata","Mammalia"
"Sarracenia purpurea","Plantae","Tracheophyta","Magnoliopsida"
"Enallagma aspersum","Animalia","Arthropoda","Insecta"
"Polystichum acrostichoides","Plantae","Tracheophyta","Polypodiopsida"
"Furia ithacensis","Fungi","Entomophthoromycota","Entomophthoromycetes"
"Ctenucha virginica","Animalia","Arthropoda","Insecta"
"Dioctria hyalipennis","Animalia","Arthropoda","Insecta"
"Galeopsis bifida","Plantae","Tracheophyta","Magnoliopsida"
"Bombycilla cedrorum","Animalia","Chordata","Aves"
"Turdus migratorius","Animalia","Chordata","Aves"
"Zonotrichia albicollis","Animalia","Chordata","Aves"
"Medeola virginiana","Plantae","Tracheophyta","Liliopsida"
"Bombus impatiens","Animalia","Arthropoda","Insecta"
"Viola lanceolata","Plantae","Tracheophyta","Magnoliopsida"
"Lethe anthedon","Animalia","Arthropoda","Insecta"
"Claytosmunda claytoniana","Plantae","Tracheophyta","Polypodiopsida"
"Lysimachia quadrifolia","Plantae","Tracheophyta","Magnoliopsida"
"Clintonia borealis","Plantae","Tracheophyta","Liliopsida"
"Scutellaria galericulata","Plantae","Tracheophyta","Magnoliopsida"
"Rhexia virginica","Plantae","Tracheophyta","Magnoliopsida"
"Gavia immer","Animalia","Chordata","Aves"
"Haliaeetus leucocephalus","Animalia","Chordata","Aves"
"Pontederia cordata","Plantae","Tracheophyta","Liliopsida"
"Speyeria atlantis","Animalia","Arthropoda","Insecta"
"Carex stricta","Plantae","Tracheophyta","Liliopsida"
"Elasmucha lateralis","Animalia","Arthropoda","Insecta"
"Pachydiplax longipennis","Animalia","Arthropoda","Insecta"
"Viburnum acerifolium","Plantae","Tracheophyta","Magnoliopsida"
"Mergus merganser","Animalia","Chordata","Aves"
"Drosera intermedia","Plantae","Tracheophyta","Magnoliopsida"
"Colias interior","Animalia","Arthropoda","Insecta"
"Aeshna tuberculifera","Animalia","Arthropoda","Insecta"
"Eoseristalis transversa","Animalia","Arthropoda","Insecta"
"Hemadas nubilipennis","Animalia","Arthropoda","Insecta"
"Erythemis simplicicollis","Animalia","Arthropoda","Insecta"
"Pelocoris femoratus","Animalia","Arthropoda","Insecta"
"Dolichovespula arenaria","Animalia","Arthropoda","Insecta"
"Solidago nemoralis","Plantae","Tracheophyta","Magnoliopsida"
"Pisaurina mira","Animalia","Arthropoda","Arachnida"
"Epigaea repens","Plantae","Tracheophyta","Magnoliopsida"
"Trifolium campestre","Plantae","Tracheophyta","Magnoliopsida"
"Meconema thalassinum","Animalia","Arthropoda","Insecta"
"Feniseca tarquinius","Animalia","Arthropoda","Insecta"
"Meleagris gallopavo","Animalia","Chordata","Aves"
"Libellula incesta","Animalia","Arthropoda","Insecta"
"Elasmostethus cruciatus","Animalia","Arthropoda","Insecta"
"Euchaetes egle","Animalia","Arthropoda","Insecta"
"Calopteryx maculata","Animalia","Arthropoda","Insecta"
"Vaccinium macrocarpum","Plantae","Tracheophyta","Magnoliopsida"
"Utricularia cornuta","Plantae","Tracheophyta","Magnoliopsida"
"Vaccinium corymbosum","Plantae","Tracheophyta","Magnoliopsida"
"Anguilla rostrata","Animalia","Chordata","Actinopterygii"
"Lepomis auritus","Animalia","Chordata","Actinopterygii"
"Littorina littorea","Animalia","Mollusca","Gastropoda"
"Fucus vesiculosus","Chromista","Ochrophyta","Phaeophyceae"
"Trimerotropis verruculata","Animalia","Arthropoda","Insecta"
"Campanula rotundifolia","Plantae","Tracheophyta","Magnoliopsida"
"Trifolium pratense","Plantae","Tracheophyta","Magnoliopsida"
"Hylocomium splendens","Plantae","Bryophyta","Bryopsida"
"Notonecta lunata","Animalia","Arthropoda","Insecta"
"Corallina officinalis","Plantae","Rhodophyta","Florideophyceae"
"Juniperus communis","Plantae","Tracheophyta","Pinopsida"
"Viola sagittata","Plantae","Tracheophyta","Magnoliopsida"
"Brasenia schreberi","Plantae","Tracheophyta","Magnoliopsida"
"Hypericum prolificum","Plantae","Tracheophyta","Magnoliopsida"
"Houstonia caerulea","Plantae","Tracheophyta","Magnoliopsida"
"Laminaria digitata","Chromista","Ochrophyta","Phaeophyceae"
"Rhododendron groenlandicum","Plantae","Tracheophyta","Magnoliopsida"
"Procyon lotor","Animalia","Chordata","Mammalia"
"Archilochus colubris","Animalia","Chordata","Aves"
"Salticus scenicus","Animalia","Arthropoda","Arachnida"
"Picea glauca","Plantae","Tracheophyta","Pinopsida"
"Potentilla argentea","Plantae","Tracheophyta","Magnoliopsida"
"Tussilago farfara","Plantae","Tracheophyta","Magnoliopsida"
"Lapsana communis","Plantae","Tracheophyta","Magnoliopsida"
"Cypripedium acaule","Plantae","Tracheophyta","Liliopsida"
"Sanguinaria canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Picea mariana","Plantae","Tracheophyta","Pinopsida"
"Diadophis punctatus","Animalia","Chordata","Reptilia"
"Pilosella aurantiaca","Plantae","Tracheophyta","Magnoliopsida"
"Bryocodia lepidula","Animalia","Arthropoda","Insecta"
"Aralia hispida","Plantae","Tracheophyta","Magnoliopsida"
"Regulus calendula","Animalia","Chordata","Aves"
"Cantharis livida","Animalia","Arthropoda","Insecta"
"Usnea merrillii","Fungi","Ascomycota","Lecanoromycetes"
"Lobelia inflata","Plantae","Tracheophyta","Magnoliopsida"
"Paonias excaecata","Animalia","Arthropoda","Insecta"
"Ilex verticillata","Plantae","Tracheophyta","Magnoliopsida"
"Cathartes aura","Animalia","Chordata","Aves"
"Araniella displicata","Animalia","Arthropoda","Arachnida"
"Cyanocitta cristata","Animalia","Chordata","Aves"
"Veronica officinalis","Plantae","Tracheophyta","Magnoliopsida"
"Buteo lineatus","Animalia","Chordata","Aves"
"Setophaga virens","Animalia","Chordata","Aves"
"Euphrasia nemorosa","Plantae","Tracheophyta","Magnoliopsida"
"Plantago maritima","Plantae","Tracheophyta","Magnoliopsida"
"Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida"
"Botaurus lentiginosus","Animalia","Chordata","Aves"
"Mitchella repens","Plantae","Tracheophyta","Magnoliopsida"
"Epilobium ciliatum","Plantae","Tracheophyta","Magnoliopsida"
"Catharus guttatus","Animalia","Chordata","Aves"
"Asclepias syriaca","Plantae","Tracheophyta","Magnoliopsida"
"Pleurotus pulmonarius","Fungi","Basidiomycota","Agaricomycetes"
"Anthonomus quadrigibbus","Animalia","Arthropoda","Insecta"
"Neochetina eichhorniae","Animalia","Arthropoda","Insecta"
"Scolopax minor","Animalia","Chordata","Aves"
"Ensis leei","Animalia","Mollusca","Bivalvia"
"Abies balsamea","Plantae","Tracheophyta","Pinopsida"
"Cosmopepla lintneriana","Animalia","Arthropoda","Insecta"
"Polydrusus cervinus","Animalia","Arthropoda","Insecta"
"Genista tinctoria","Plantae","Tracheophyta","Magnoliopsida"
"Ectobius pallidus","Animalia","Arthropoda","Insecta"
"Diervilla lonicera","Plantae","Tracheophyta","Magnoliopsida"
"Nucella lapillus","Animalia","Mollusca","Gastropoda"
"Cladium mariscoides","Plantae","Tracheophyta","Liliopsida"
"Lithacodia albidula","Animalia","Arthropoda","Insecta"
"Aulactinia stella","Animalia","Cnidaria","Anthozoa"
"Aquarius remigis","Animalia","Arthropoda","Insecta"
"Cladonia stellaris","Fungi","Ascomycota","Lecanoromycetes"
"Physocarpus opulifolius","Plantae","Tracheophyta","Magnoliopsida"
"Scopula limboundata","Animalia","Arthropoda","Insecta"
"Malacosoma disstria","Animalia","Arthropoda","Insecta"
"Pacificanthia rotundicollis","Animalia","Arthropoda","Insecta"
"Leuconotopicus villosus","Animalia","Chordata","Aves"
"Actias luna","Animalia","Arthropoda","Insecta"
"Thalictrum pubescens","Plantae","Tracheophyta","Magnoliopsida"
"Coccinella septempunctata","Animalia","Arthropoda","Insecta"
"Phyciodes tharos","Animalia","Arthropoda","Insecta"
"Campsis radicans","Plantae","Tracheophyta","Magnoliopsida"
"Sumitrosis inaequalis","Animalia","Arthropoda","Insecta"
"Viburnum lantanoides","Plantae","Tracheophyta","Magnoliopsida"
"Umbilicaria mammulata","Fungi","Ascomycota","Lecanoromycetes"
"Nadata gibbosa","Animalia","Arthropoda","Insecta"
"Brevoortia tyrannus","Animalia","Chordata","Actinopterygii"
"Rhinanthus minor","Plantae","Tracheophyta","Magnoliopsida"
"Modiolus modiolus","Animalia","Mollusca","Bivalvia"
"Haemorhous purpureus","Animalia","Chordata","Aves"
"Hieracium lachenalii","Plantae","Tracheophyta","Magnoliopsida"
"Corylus cornuta","Plantae","Tracheophyta","Magnoliopsida"
"Eutrapela clemataria","Animalia","Arthropoda","Insecta"
"Pseudanostirus triundulatus","Animalia","Arthropoda","Insecta"
"Ampedus mixtus","Animalia","Arthropoda","Insecta"
"Vanessa atalanta","Animalia","Arthropoda","Insecta"
"Poecile atricapillus","Animalia","Chordata","Aves"
"Neocataclysta magnificalis","Animalia","Arthropoda","Insecta"
"Vicia cracca","Plantae","Tracheophyta","Magnoliopsida"
"Dumetella carolinensis","Animalia","Chordata","Aves"
"Valeriana officinalis","Plantae","Tracheophyta","Magnoliopsida"
"Pogonia ophioglossoides","Plantae","Tracheophyta","Liliopsida"
"Theronia hilaris","Animalia","Arthropoda","Insecta"
"Mimoceps insignis","Animalia","Arthropoda","Insecta"
"Parascythopus intrusus","Animalia","Arthropoda","Insecta"
"Tamias striatus","Animalia","Chordata","Mammalia"
"Pholis gunnellus","Animalia","Chordata","Actinopterygii"
"Basiaeschna janata","Animalia","Arthropoda","Insecta"
"Setophaga coronata","Animalia","Chordata","Aves"
"Lepus americanus","Animalia","Chordata","Mammalia"
"Rhododendron canadense","Plantae","Tracheophyta","Magnoliopsida"
"Eurybia macrophylla","Plantae","Tracheophyta","Magnoliopsida"
"Cepphus grylle","Animalia","Chordata","Aves"
"Hypomyces hyalinus","Fungi","Ascomycota","Sordariomycetes"
"Seiurus aurocapilla","Animalia","Chordata","Aves"
"Libellula exusta","Animalia","Arthropoda","Insecta"
"Caripeta divisata","Animalia","Arthropoda","Insecta"
"Dibaeis baeomyces","Fungi","Ascomycota","Lecanoromycetes"
"Pyrola elliptica","Plantae","Tracheophyta","Magnoliopsida"
"Semibalanus balanoides","Animalia","Arthropoda","Maxillopoda"
"Fomitopsis pinicola","Fungi","Basidiomycota","Agaricomycetes"
"Testudinalia testudinalis","Animalia","Mollusca","Gastropoda"
"Chromagrion conditum","Animalia","Arthropoda","Insecta"
"Psyllobora vigintimaculata","Animalia","Arthropoda","Insecta"
"Potentilla simplex","Plantae","Tracheophyta","Magnoliopsida"
"Formica exsectoides","Animalia","Arthropoda","Insecta"
"Camponotus nearcticus","Animalia","Arthropoda","Insecta"
"Dolichoderus mariae","Animalia","Arthropoda","Insecta"
"Lomographa vestaliata","Animalia","Arthropoda","Insecta"
"Vulpicida pinastri","Fungi","Ascomycota","Lecanoromycetes"
"Adonisea florida","Animalia","Arthropoda","Insecta"
"Philomycus togatus","Animalia","Mollusca","Gastropoda"
"Nymphalis antiopa","Animalia","Arthropoda","Insecta"
"Polydrusus formosus","Animalia","Arthropoda","Insecta"
"Lupinus polyphyllus","Plantae","Tracheophyta","Magnoliopsida"
"Spizella passerina","Animalia","Chordata","Aves"
"Linnaea borealis","Plantae","Tracheophyta","Magnoliopsida"
"Parallelia bistriaris","Animalia","Arthropoda","Insecta"
"Setophaga americana","Animalia","Chordata","Aves"
"Setophaga ruticilla","Animalia","Chordata","Aves"
"Libellula quadrimaculata","Animalia","Arthropoda","Insecta"
"Rhodiola rosea","Plantae","Tracheophyta","Magnoliopsida"
"Notophthalmus viridescens","Animalia","Chordata","Amphibia"
"Bombus bimaculatus","Animalia","Arthropoda","Insecta"
"Buccinum undatum","Animalia","Mollusca","Gastropoda"
"Nomotettix cristatus","Animalia","Arthropoda","Insecta"
"Dryocopus pileatus","Animalia","Chordata","Aves"
"Speranza ribearia","Animalia","Arthropoda","Insecta"
"Jaera albifrons","Animalia","Arthropoda","Malacostraca"
"Aix sponsa","Animalia","Chordata","Aves"
"Capnoides sempervirens","Plantae","Tracheophyta","Magnoliopsida"
"Cladonia cristatella","Fungi","Ascomycota","Lecanoromycetes"
"Populus grandidentata","Plantae","Tracheophyta","Magnoliopsida"
"Cicindela sexguttata","Animalia","Arthropoda","Insecta"
"Oenothera perennis","Plantae","Tracheophyta","Magnoliopsida"
"Littorina obtusata","Animalia","Mollusca","Gastropoda"
"Streptopus amplexifolius","Plantae","Tracheophyta","Liliopsida"
"Pinus banksiana","Plantae","Tracheophyta","Pinopsida"
"Piranga olivacea","Animalia","Chordata","Aves"
"Gaylussacia baccata","Plantae","Tracheophyta","Magnoliopsida"
"Cerastium fontanum","Plantae","Tracheophyta","Magnoliopsida"
"Drepana arcuata","Animalia","Arthropoda","Insecta"
"Pachysphinx modesta","Animalia","Arthropoda","Insecta"
"Tetracis crocallata","Animalia","Arthropoda","Insecta"
"Trifolium repens","Plantae","Tracheophyta","Magnoliopsida"
"Caltha palustris","Plantae","Tracheophyta","Magnoliopsida"
"Hudsonia ericoides","Plantae","Tracheophyta","Magnoliopsida"
"Rumex acetosella","Plantae","Tracheophyta","Magnoliopsida"
"Trillium undulatum","Plantae","Tracheophyta","Liliopsida"
"Aronia melanocarpa","Plantae","Tracheophyta","Magnoliopsida"
"Pinus rigida","Plantae","Tracheophyta","Pinopsida"
"Phlegyas abbreviatus","Animalia","Arthropoda","Insecta"
"Leucorrhinia intacta","Animalia","Arthropoda","Insecta"
"Sayornis phoebe","Animalia","Chordata","Aves"
"Dennstaedtia punctilobula","Plantae","Tracheophyta","Polypodiopsida"
"Setophaga petechia","Animalia","Chordata","Aves"
"Melospiza georgiana","Animalia","Chordata","Aves"
"Ectobius lapponicus","Animalia","Arthropoda","Insecta"
"Chondrus crispus","Plantae","Rhodophyta","Florideophyceae"
"Maianthemum stellatum","Plantae","Tracheophyta","Liliopsida"
"Sphyrapicus varius","Animalia","Chordata","Aves"
"Nicrophorus orbicollis","Animalia","Arthropoda","Insecta"
"Phoca vitulina","Animalia","Chordata","Mammalia"
"Lepomis gibbosus","Animalia","Chordata","Actinopterygii"
"Attelabus bipustulatus","Animalia","Arthropoda","Insecta"
"Plethodon cinereus","Animalia","Chordata","Amphibia"
"Trifolium dubium","Plantae","Tracheophyta","Magnoliopsida"
"Myiarchus crinitus","Animalia","Chordata","Aves"
"Tremella mesenterica","Fungi","Basidiomycota","Tremellomycetes"
"Picea rubens","Plantae","Tracheophyta","Pinopsida"
"Anas platyrhynchos","Animalia","Chordata","Aves"
"Ceratomia undulosa","Animalia","Arthropoda","Insecta"
"Selatosomus pulcher","Animalia","Arthropoda","Insecta"
"Mormidea lugens","Animalia","Arthropoda","Insecta"
"Iris hookeri","Plantae","Tracheophyta","Liliopsida"
